p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
6.587,-22.646,-28.373,7.218,-77.784,-36.576,-7.316,2.6,-36.197,-3.488,-96.684,-34.56
6.606,-22.67,-28.227,7.273,-77.764,-36.588,-7.325,2.599,-36.196,-3.49,-96.688,-34.547
6.612,-22.704,-28.075,7.288,-77.726,-36.623,-7.325,2.585,-36.193,-3.484,-96.695,-34.552
6.594,-22.712,-27.926,7.286,-77.67,-36.691,-7.33,2.58,-36.194,-3.506,-96.685,-34.555
6.652,-22.684,-27.791,7.265,-77.672,-36.712,-7.333,2.584,-36.194,-3.563,-96.677,-34.55
6.687,-22.717,-27.654,7.285,-77.619,-36.78,-7.329,2.58,-36.2,-3.547,-96.686,-34.55
6.666,-22.722,-27.482,7.259,-77.638,-36.842,-7.331,2.573,-36.207,-3.58,-96.688,-34.526
6.626,-22.709,-27.357,7.281,-77.628,-36.897,-7.302,2.563,-36.212,-3.585,-96.691,-34.521
6.625,-22.714,-27.224,7.282,-77.583,-36.97,-7.297,2.56,-36.219,-3.657,-96.662,-34.51
6.643,-22.731,-27.079,7.262,-77.568,-37.077,-7.28,2.545,-36.225,-3.762,-96.637,-34.47
6.625,-22.725,-26.947,7.216,-77.486,-37.138,-7.282,2.555,-36.235,-3.79,-96.642,-34.455
6.676,-22.728,-26.79,7.17,-77.422,-37.188,-7.281,2.555,-36.244,-3.75,-96.638,-34.46
6.69,-22.727,-26.642,7.157,-77.348,-37.27,-7.28,2.53,-36.253,-3.691,-96.649,-34.463
6.7,-22.734,-26.524,7.142,-77.311,-37.348,-7.264,2.535,-36.256,-3.69,-96.648,-34.471
6.69,-22.722,-26.412,7.216,-77.275,-37.415,-7.265,2.52,-36.256,-3.67,-96.655,-34.473
6.665,-22.788,-26.245,7.282,-77.233,-37.482,-7.277,2.522,-36.261,-3.638,-96.664,-34.475
6.735,-22.757,-26.087,7.299,-77.213,-37.532,-7.305,2.514,-36.256,-3.64,-96.667,-34.476
6.729,-22.766,-25.934,7.285,-77.209,-37.593,-7.307,2.516,-36.253,-3.661,-96.663,-34.478
6.743,-22.753,-25.796,7.28,-77.187,-37.649,-7.311,2.509,-36.251,-3.686,-96.652,-34.477
6.685,-22.726,-25.672,7.215,-77.125,-37.758,-7.326,2.514,-36.245,-3.698,-96.64,-34.488
6.76,-22.742,-25.558,7.161,-77.07,-37.827,-7.344,2.521,-36.243,-3.697,-96.617,-34.495
6.762,-22.756,-25.391,7.201,-77.078,-37.869,-7.369,2.517,-36.246,-3.669,-96.633,-34.489
6.765,-22.762,-25.21,7.171,-77.056,-37.978,-7.364,2.522,-36.245,-3.641,-96.649,-34.489
6.679,-22.756,-25.067,7.161,-77.05,-38.019,-7.363,2.521,-36.244,-3.613,-96.653,-34.492
6.7,-22.793,-24.969,7.122,-77.01,-38.122,-7.354,2.518,-36.25,-3.601,-96.657,-34.496
6.73,-22.849,-24.809,7.152,-76.982,-38.205,-7.344,2.516,-36.255,-3.625,-96.648,-34.508
6.755,-22.823,-24.702,7.114,-76.962,-38.265,-7.345,2.517,-36.257,-3.662,-96.637,-34.496
6.777,-22.81,-24.531,7.091,-76.971,-38.274,-7.338,2.513,-36.264,-3.649,-96.634,-34.493
6.789,-22.824,-24.427,7.146,-76.93,-38.309,-7.327,2.502,-36.27,-3.618,-96.63,-34.504
6.775,-22.814,-24.261,7.157,-76.876,-38.377,-7.31,2.492,-36.273,-3.605,-96.632,-34.502
6.787,-22.82,-24.099,7.235,-76.879,-38.436,-7.294,2.491,-36.281,-3.619,-96.625,-34.496
6.783,-22.822,-23.987,7.177,-76.856,-38.493,-7.291,2.496,-36.288,-3.603,-96.637,-34.483
6.741,-22.8,-23.883,7.159,-76.828,-38.554,-7.291,2.492,-36.29,-3.6,-96.646,-34.48
6.798,-22.814,-23.728,7.146,-76.821,-38.608,-7.28,2.466,-36.285,-3.619,-96.65,-34.466
6.757,-22.845,-23.596,7.153,-76.825,-38.628,-7.271,2.458,-36.278,-3.629,-96.652,-34.454
6.795,-22.835,-23.468,7.093,-76.825,-38.684,-7.274,2.465,-36.272,-3.647,-96.63,-34.459
6.805,-22.849,-23.317,7.037,-76.834,-38.732,-7.277,2.468,-36.273,-3.637,-96.634,-34.453
6.819,-22.84,-23.225,6.963,-76.839,-38.757,-7.285,2.464,-36.274,-3.598,-96.639,-34.452
6.841,-22.849,-23.038,6.943,-76.798,-38.851,-7.287,2.461,-36.268,-3.561,-96.642,-34.457
6.848,-22.867,-22.892,6.985,-76.762,-38.901,-7.3,2.455,-36.263,-3.532,-96.655,-34.457
6.808,-22.882,-22.773,6.96,-76.725,-39.007,-7.301,2.456,-36.258,-3.528,-96.659,-34.45
6.844,-22.876,-22.642,6.969,-76.736,-39.025,-7.304,2.458,-36.257,-3.449,-96.679,-34.437
6.853,-22.866,-22.488,6.962,-76.732,-39.074,-7.316,2.461,-36.259,-3.415,-96.672,-34.419
6.846,-22.851,-22.34,6.947,-76.707,-39.144,-7.31,2.461,-36.254,-3.409,-96.667,-34.409
6.856,-22.866,-22.224,6.951,-76.661,-39.182,-7.296,2.461,-36.255,-3.435,-96.655,-34.414
6.882,-22.892,-22.098,6.947,-76.663,-39.204,-7.289,2.455,-36.258,-3.444,-96.651,-34.402
6.873,-22.887,-21.937,6.955,-76.678,-39.25,-7.281,2.456,-36.261,-3.409,-96.655,-34.405
6.842,-22.884,-21.813,6.869,-76.651,-39.304,-7.267,2.452,-36.269,-3.417,-96.646,-34.4
6.865,-22.932,-21.672,6.852,-76.612,-39.387,-7.247,2.448,-36.274,-3.382,-96.641,-34.389
6.902,-22.91,-21.573,6.816,-76.605,-39.482,-7.242,2.45,-36.274,-3.376,-96.626,-34.383
6.87,-22.874,-21.463,6.872,-76.621,-39.476,-7.224,2.453,-36.266,-3.392,-96.599,-34.406
6.866,-22.916,-21.313,6.903,-76.617,-39.517,-7.22,2.447,-36.269,-3.389,-96.608,-34.398
6.851,-22.913,-21.205,6.866,-76.595,-39.568,-7.218,2.438,-36.27,-3.417,-96.589,-34.408
6.82,-22.93,-21.092,6.861,-76.611,-39.631,-7.218,2.447,-36.273,-3.425,-96.58,-34.406
6.841,-22.928,-20.957,6.857,-76.582,-39.69,-7.216,2.441,-36.274,-3.436,-96.578,-34.409
6.798,-22.934,-20.83,6.902,-76.539,-39.731,-7.218,2.43,-36.269,-3.417,-96.587,-34.412
6.805,-22.959,-20.739,6.915,-76.482,-39.854,-7.221,2.435,-36.263,-3.39,-96.572,-34.428
6.819,-22.931,-20.636,6.844,-76.439,-39.919,-7.228,2.444,-36.265,-3.403,-96.562,-34.437
6.817,-22.928,-20.538,6.799,-76.399,-39.951,-7.225,2.447,-36.263,-3.427,-96.557,-34.43
6.824,-22.917,-20.416,6.82,-76.399,-40.004,-7.227,2.447,-36.262,-3.461,-96.565,-34.42
6.823,-22.943,-20.303,6.837,-76.421,-40.041,-7.232,2.446,-36.256,-3.512,-96.553,-34.41
6.837,-22.962,-20.181,6.889,-76.437,-40.095,-7.243,2.443,-36.252,-3.567,-96.513,-34.403
6.824,-22.968,-20.054,6.897,-76.43,-40.124,-7.253,2.439,-36.248,-3.565,-96.497,-34.394
6.822,-22.962,-19.933,6.843,-76.395,-40.201,-7.257,2.434,-36.244,-3.53,-96.51,-34.388
6.785,-22.988,-19.863,6.8,-76.382,-40.247,-7.275,2.44,-36.237,-3.517,-96.516,-34.395
6.807,-22.984,-19.745,6.779,-76.405,-40.286,-7.267,2.439,-36.234,-3.481,-96.536,-34.392
